,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Generator ID,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol
2,Baytown Energy Center,55327_G_CTG1,55327,G,CTG1,4097.0,Combined Cycle,,ERC_REST,Texas,48,Chambers,71,48071,165.0,8200.0,2002.0,9999,,,Y,Natural Gas,,,,,SCR,,,,,,,,,0.01062,0.01062,0.01062,0.01062,,,,,,,,,,,,Natural Gas,55327.0,29.7731,-94.9019,,,,,,,,,3.26102283606551,117.0,POINT (-94.9019 29.7731),65,66,66,15.9340527498,3.27567832348,p66,rto13,p64,4.0,52.47,16844.81991996443,66.0,0.0,13170.0,3.5999999999999996,30.340387255737177,1,0.0,1,1,False,False,False,False,55327+CTG1
3,Baytown Energy Center,55327_G_CTG2,55327,G,CTG2,4098.0,Combined Cycle,,ERC_REST,Texas,48,Chambers,71,48071,165.0,8200.0,2002.0,9999,,,Y,Natural Gas,,,,,SCR,,,,,,,,,0.01062,0.01062,0.01062,0.01062,,,,,,,,,,,,Natural Gas,55327.0,29.7731,-94.9019,,,,,,,,,3.26102283606551,117.0,POINT (-94.9019 29.7731),65,66,66,15.9340527498,3.27567832348,p66,rto13,p64,4.0,52.47,16844.81991996443,66.0,0.0,13170.0,3.5999999999999996,30.340387255737177,1,0.0,1,1,False,False,False,False,55327+CTG2
4,Baytown Energy Center,55327_G_CTG3,55327,G,CTG3,4099.0,Combined Cycle,,ERC_REST,Texas,48,Chambers,71,48071,165.0,8200.0,2002.0,9999,,,Y,Natural Gas,,,,,SCR,,,,,,,,,0.01062,0.01062,0.01062,0.01062,,,,,,,,,,,,Natural Gas,55327.0,29.7731,-94.9019,,,,,,,,,3.26102283606551,117.0,POINT (-94.9019 29.7731),65,66,66,15.9340527498,3.27567832348,p66,rto13,p64,4.0,52.47,16844.81991996443,66.0,0.0,13170.0,3.5999999999999996,30.340387255737177,1,0.0,1,1,False,False,False,False,55327+CTG3
5,Baytown Energy Center,55327_G_STG1,55327,G,STG1,,Combined Cycle,,ERC_REST,Texas,48,Chambers,71,48071,275.0,8200.0,2002.0,9999,,,Y,Natural Gas,,,,,SCR,2002.0,,,,,,,,0.01062,0.01062,0.01062,0.01062,,,,,,,,,,,,Natural Gas,55327.0,29.7731,-94.9019,,,,,,,,,3.26102283606551,117.0,POINT (-94.9019 29.7731),65,66,66,15.9340527498,3.27567832348,p66,rto13,p64,4.0,87.45,28074.69986660738,110.0,0.0,13170.0,3.5999999999999996,30.340387255737177,1,0.0,1,1,False,False,False,False,55327+STG1
6,Nacogdoches Power,55708_B_BLR1,55708,B,BLR1,9227.0,Biomass,,ERC_REST,Texas,48,Nacogdoches,347,48347,100.0,15413.0,2012.0,9999,FBC,,N,Biomass,,,0.888,CF,SNCR,,2012.0,B,,,,,0.046,0.07362,0.07362,0.07362,0.07362,,,,,,,,,,,,Biomass,55708.0,31.832132,-94.90064,,,,,,,,,0.0,91.9,POINT (-94.90064 31.832132),65,66,66,15.9340527498,3.27567832348,p66,rto13,p64,4.0,100.0,10208.98176967541,40.0,0.0,105630.0,5.26,5.26,0,0.0,1,1,False,False,False,False,55708+BLR1
7,Cedar Bayou 4,56806_G_4,56806,G,4,,Combined Cycle,,ERC_REST,Texas,48,Chambers,71,48071,172.0,7720.0,2009.0,9999,,,N,Natural Gas,,,,DLNB,SCR,2009.0,,,,,,,,0.01441,0.01441,0.01441,0.01441,,,,,,,,,,,,Natural Gas,56806.0,29.751645,-94.92312,,,,,,,,,3.26102283606551,117.0,POINT (-94.92312 29.751645),65,66,66,15.9340527498,3.27567832348,p66,rto13,p64,4.0,54.696,17559.448643841708,68.8,0.0,13170.0,3.5999999999999996,28.775096294425737,1,0.0,1,1,False,False,False,False,56806+4
8,Cedar Bayou 4,56806_G_41,56806,G,41,90407.0,Combined Cycle,,ERC_REST,Texas,48,Chambers,71,48071,165.0,7720.0,2009.0,9999,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.01441,0.01441,0.01441,0.01441,,,,,,,,,,,,Natural Gas,56806.0,29.751645,-94.92312,,,,,,,,,3.26102283606551,117.0,POINT (-94.92312 29.751645),65,66,66,15.9340527498,3.27567832348,p66,rto13,p64,4.0,52.47,16844.81991996443,66.0,0.0,13170.0,3.5999999999999996,28.775096294425737,1,0.0,1,1,False,False,False,False,56806+41
9,Cedar Bayou 4,56806_G_42,56806,G,42,90408.0,Combined Cycle,,ERC_REST,Texas,48,Chambers,71,48071,165.0,7720.0,2009.0,9999,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.01441,0.01441,0.01441,0.01441,,,,,,,,,,,,Natural Gas,56806.0,29.751645,-94.92312,,,,,,,,,3.26102283606551,117.0,POINT (-94.92312 29.751645),65,66,66,15.9340527498,3.27567832348,p66,rto13,p64,4.0,52.47,16844.81991996443,66.0,0.0,13170.0,3.5999999999999996,28.775096294425737,1,0.0,1,1,False,False,False,False,56806+42
29,Seadrift Coke LP,10167_G_GEN1,10167,G,GEN1,,Coal Steam,,ERC_REST,Texas,48,Calhoun,57,48057,7.6,10428.0,1983.0,9999,,,Y,Petroleum Coke,,,,,,,,,,,,,0.79,0.76996,0.76996,0.76996,0.76996,1.0,1.0,1.0,0.98,,,,,,,,Petroleum Coke,10167.0,28.513929,-96.794154,,,,,,,,,1.7568728288292519,225.1,POINT (-96.79415400000001 28.513929),64,65,65,51.695295702,9.56289745704,p65,rto10,p65,6.0,2.6599999999999997,775.8826144953313,3.04,0.0,37800.0,4.47,22.790669859031436,1,0.0,1,1,False,False,False,False,10167+GEN1
30,Formosa Utility Venture Ltd,10554_G_BO3,10554,G,BO3,,Combined Cycle,,ERC_REST,Texas,48,Calhoun,57,48057,32.0,6487.0,1987.0,9999,,,Y,Natural Gas,,,,,,,,,,,,,,0.11484,0.11484,0.11484,0.11484,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,,,3.26102283606551,117.0,POINT (-96.54170000000001 28.6917),64,65,65,51.695295702,9.56289745704,p65,rto10,p65,4.0,20.448,3266.8741662961315,12.8,0.0,13170.0,3.5999999999999996,24.75425513755696,1,0.0,1,1,False,False,False,False,10554+BO3
